GHNHolderAddress	Quantity	PendingBalanceUpdate	AHCHolderAddress	Quantity	PendingBalanceUpdate	BAYCHolderAddress	Quantity	PendingBalanceUpdate	MAYCHolderAddress	Quantity	PendingBalanceUpdate	MGHNHolderAddress	Quantity	PendingBalanceUpdate	AKCBHolderAddress	Quantity	PendingBalanceUpdate	ThePlagueHolderAddress	Quantity	PendingBalanceUpdate	SSHolderAddress	Quantity	PendingBalanceUpdate
0xd566a0b8f90f783b96bcec0785dca9d14d7f505c	22	No	0x4b0c45cd9537b3a1d3e95db3bd055e51a041e92c	30	No	0x3f703546e6af3e06d5a1653a352f0a05744d1928	19	No	0x7fee302a14d6b945c0eb6da9c4426c8d75d38a73	30	No	0xd0de44306e6eccd916ae0c6f8d02b59ca1f15bc6	21	No	0x603a9d58386e360d3fa875338dec3eafb8e451a9	23	No	0x9b4d5cc38774eeda027d94e93bcac7073d119bd8	38	No	0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f	9	No
0x67b44e295300147e86bb98406025acf78678c5e5	21	No	0x0188a061aa8581437b0e16f4aa9a9f3f170676dc	30	No	0xe52cec0e90115abeb3304baa36bc2655731f7934	18	No	0xd611a3350321558bda7d15da88e4b74eaf4c8986	29	No	0x853ba4cfafde887c5ccea4f68efa8477b5ed3a28	21	No	0xe0c68cbf721555fb44663fc15511cd49bea51db9	23	No	0x8092a258e4b8e4aaa8420c90f87c18233973834c	38	No	0x8ae57a027c63fca8070d1bf38622321de8004c67	9	No
0x0494983be6c426da0fb336955b9cdb4648077a4f	20	No	0xfce8d086b0b64ce88f71ce51fe1d929d83c049ef	30	No	0xa37fbd2264b48ed56dd7de8b9b83db35561700ef	16	No	0x4ce8337424fab98500b48ba022d56cb25a4d088b	28	No	0x232da06c5c6cd6a343f2669acf4f93ed5defa90a	21	No	0x4cc4c344eba849dc09ac9af4bff1977e44fc1d7e	23	No	0x83441cfa3bd31f33bbf16c536b52b9818c5018d0	37	No	0x6ce42d8b2a202e206051bc09dbaafd1fed24d044	9	No
0xa958c2b0f4abe7a8def460b84f58bd1c2fe9bfa0	19	No	0x7d54e53d60d608181e87baa6cf1cc365e06a05de	29	No	0x1b523dc90a79cf5ee5d095825e586e33780f7188	16	No	0x26fcbd3afebbe28d0a8684f790c48368d21665b5	26	No	0x8605933993ea1e7325caa578fe3a4da350fa4b08	21	No	0xd460218ee74815b4584fff4d283c798438132c7c	23	No	0x0b03a3766e89d1f648cb3b78458d0553a2c078a0	37	No	0x591ec71097d9fda67cf53732239f9591688f37e9	9	No
0x7a9fe22691c811ea339d9b73150e6911a5343dca	19	No	0xbd8e769f009e06a38c3b2e6c17e82b1725bad832	29	No	0x55e94e836f312d98171eff73146926a5fa2a3b25	16	No	0xe52cec0e90115abeb3304baa36bc2655731f7934	26	No	0xfbc5c7dc2aeba334e67a6326a7caf0f6daea1de2	20	No	0x07ce735b9f6a81c726a3013e262e09b8ba4637db	22	No	0x5bf8930a345dea4a1bea0ce8b876f7d29cd24787	37	No	0xddb0c0a7dcf118daffe05d0672e19fa65a806bc8	9	No
0x98aa48a971fa138edd8666473617a570d9148048	19	No	0xf7fd2e91d96d48da20d0d41cd957c8829b9ff710	28	No	0x8252df1d8b29057d1afe3062bf5a64d503152bc8	16	No	0x5b3fd06bb4833bf7c7a3890501f4985acdb75281	23	No	0xd566a0b8f90f783b96bcec0785dca9d14d7f505c	20	No	0xeeaee4f9a53d6f8d4eed42ec361ad7a32e289e5a	22	No	0xbad83f28433ef9bcb5c3c314939bf00623ceaaaf	36	No	0x94f066037f0fcbe84cd902cbe7c933b89f0559c1	8	No
0x355685e85956376ab3dfebaf7129c7399012632f	19	No	0x18b518f0b00f45e53c650c1a8a560667e81ae4fb	27	No	0x8d8b9c79196f32161bcb2a9728d274b3b45eb9af	16	No	0xca1257ade6f4fa6c6834fdc42e030be6c0f5a813	23	No	0xea69cd4e818ffaf812fe31fdb9699470fca7cc40	18	No	0x236045162590a1ef717be770525e921dd21600be	22	No	0xcd902583ea4d5ad4e8b7109f64c3f61fe4105d8c	35	No	0x21c5fd1a38e08fbd53459af966aac83d4920e543	8	No
0xd842de0c1cf6cf0e40f4cac3c92bfa088ccc2421	19	No	0x065aef9729d4df33a4b7ff408cbd145e2a80c34c	27	No	0xd4b06218c545c047ac3acc7ce49d124c172db409	16	No	0xb50edc59d7554d21a5a16b5a128bfcaf1279f2f0	22	No	0x866f1accacac3a2ec668b9c9741c5e9cf42fc383	18	No	0xcbe678356c6a9a4f71ced7a340ab674b332e200b	21	No	0x0854e0686c9e5035ddbcc94888165bec9086cfc7	35	No	0x4d49ab0589398b77a20eae4daea07a255768db1e	8	No
0xca940af6cc7109d62bfb162c961b74591680ec9c	19	No	0xbbaf87c5c309e2d5bf89293b9159d7cfce2d2d26	26	No	0xf696ab3e4f9d52482b8350ffae67d21fda78e601	15	No	0xe6030d4e773888e1dfe4cc31da6e05bfe53091ac	21	No	0x5d844d7dee840d08fb1feb4c3590e0d05b0b1916	17	No	0x446cec83402f5bc201083693992e5314876e25c2	21	No	0x86a41524cb61edd8b115a72ad9735f8068996688	34	No	0xc0bc7bbc9afa9b0577d10bd3eb636c8d3ab841d3	8	No
0x04a1ee7593db229a3c246743b8faf0ea43f581f9	18	No	0xd654aaf2c6e30a3c12ad14f74c8c20854fe153bb	26	No	0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935	15	No	0x7a9fe22691c811ea339d9b73150e6911a5343dca	21	No	0x8124bab83d57652fac7b6572fb117ad169d0e9d8	17	No	0xc1ae99caa63523a345883313c88a037186146be3	21	No	0x2d6b675952e9cc67dce80c17037279f6d33fef0a	31	No	0xba26877c2036e1f2baba63bdd5bfe996b050e13c	8	No
